Major,Class Name,Class Code,Instructor,Location,Days & Times
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42904,John Eme,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42905,George Brusch,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42906,Sergio Nigenda Morales,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42907,Erika Diaz Almeyda,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42908,Denise Garcia,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42909,William Kristan,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42910,To be Announced,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42911,To be Announced,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42912,To be Announced,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42913,To be Announced,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42932,To be Announced,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42933,To be Announced,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42934,To be Announced,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42980,Darcy Taniguchi,University Hall 441,TuTh 1:00PM - 2:15PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42981,George Vourlitis,Academic Hall 408,MoWe 4:00PM - 5:15PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42092,Casey Mueller,Science Hall II 243,Fr 9:30AM - 12:20PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42982,Jane Kim,University Hall 101,Fr 12:30PM - 3:20PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42983,Dennis Kolosov,University Hall 440,TuTh 9:00AM - 10:15AM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,41885,Julie Jameson,Academic Hall 402,Mo 9:30AM - 12:20PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42993,To be Announced,Independent Study,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42994,To be Announced,Independent Study,TBA
Border & Reg. Studies,BRS  300 - Borders: Interdisciplinary Perspectives,43168,Rich Schultz,Soc & Behavioral Sci Bldg 1105,TuTh 5:30PM - 6:45PM
Business Administration,BUS  101 - Introduction to Business,41808,Harpreet Grewal,Academic Hall 102,We 7:30AM - 9:20AM
Business Administration,BUS  101 - Introduction to Business,41712,Melissa Simnitt,Asynchronous Virtual Instr,TBA
Business Administration,BUS  101 - Introduction to Business,44108,Alan Omens,Markstein Hall 125,Tu 8:00AM - 9:50AM
Business Administration,BUS  101 - Introduction to Business,41870,Carla Nesbitt-Stokes,Mt San Jacinto College 219,We 8:30AM - 10:20AM
Business Administration,BUS  101 - Introduction to Business,41858,Maryam Hassanlou,Markstein Hall 305,Fr 10:30AM - 12:20PM
Business Administration,BUS  101 - Introduction to Business,41859,Maryam Hassanlou,Markstein Hall 305,Fr 12:30PM - 2:20PM
Business Administration,BUS  101 - Introduction to Business,43123,Matthew Tasooji,Markstein Hall 304,We 12:30PM - 2:20PM
Business Administration,BUS  101 - Introduction to Business,43125,Matthew Tasooji,Markstein Hall 304,We 2:30PM - 4:20PM
Business Administration,BUS  101 - Introduction to Business,43126,To be Announced,Mt San Jacinto College 219,We 12:30PM - 2:20PM
Business Administration,BUS  101 - Introduction to Business,44098,Alan Lerchbacker,Kellogg Library 5102,We 12:30PM - 2:20PM
Business Administration,BUS  101 - Introduction to Business,40157,"Roger Herzler
Roger Herzler
Roger Herzler
Roger Herzler","Synchronous Virtual Instr
Synchronous Virtual Instr
Synchronous Virtual Instr
Synchronous Virtual Instr","Th 5:00PM - 8:50PM
Th 5:00PM - 8:50PM
Th 5:00PM - 8:50PM
Th 5:00PM - 8:50PM"
Business Administration,BUS  101 - Introduction to Business,40106,"Roger Herzler
Roger Herzler
Roger Herzler
Roger Herzler","Synchronous Virtual Instr
Synchronous Virtual Instr
Synchronous Virtual Instr
Synchronous Virtual Instr","Fr 2:30PM - 6:20PM
Fr 2:30PM - 6:20PM
Fr 2:30PM - 6:20PM
Fr 2:30PM - 6:20PM"
Business Administration - MBA,BA   71 - Workshops,41703,"To be Announced
To be Announced","Markstein Hall 104
Markstein Hall 104","Sa 12:30PM - 3:15PM
Sa 9:00AM - 11:45AM"
Business Administration - MBA,BA   71 - Workshops,41704,To be Announced,SEE CLASS NOTE,TBA
Business Administration - MBA,BA   71 - Workshops,43242,"Mohammad Oskoorouchi,
Catalin Ratiu,
David Grooms,
Melissa Simnitt",Markstein Hall 104,MoTuWeTh 5:30PM - 8:15PM
Business Administration - MBA,BA   71 - Workshops,43243,Mohammad Oskoorouchi,Markstein Hall 104,MoWe 5:30PM - 8:15PM
Business Administration - MBA,BA   71 - Workshops,41695,"David DeBoskey,
Marco Casalins
David DeBoskey
David DeBoskey","Markstein Hall 104
Markstein Hall 104
Synchronous Virtual Instr","Sa 9:00AM - 11:45AM
Sa 12:30PM - 3:15PM
We 7:00PM - 9:45PM"
Business Administration - MBA,BA   71 - Workshops,41698,"Bill Burns
Bill Burns
Bill Burns","Markstein Hall 103
Markstein Hall 103
Markstein Hall 103","Sa 9:00AM - 11:45AM
Sa 12:30PM - 3:15PM
Sa 9:00AM - 11:45AM"
Business Administration - MBA,BA   71 - Workshops,41696,"Shawn Park
Shawn Park
Shawn Park","Markstein Hall 104
Markstein Hall 104
Synchronous Virtual Instr","Sa 9:00AM - 11:45AM
Sa 12:30PM - 3:15PM
We 7:00PM - 9:45PM"
Business Administration - MBA,BA   71 - Workshops,41697,"Paul Barton
Paul Barton
Paul Barton","Markstein Hall 104
Markstein Hall 104
Asynchronous Virtual Instr","Sa 9:00AM - 11:45AM
Sa 12:30PM - 3:15PM
We 7:00PM - 9:45PM"
Business Administration - MBA,BA   71 - Workshops,41699,"Fang Fang
To be Announced
To be Announced","Markstein Hall 103
Markstein Hall 103
Markstein Hall 103","Sa 12:30PM - 3:15PM
Sa 9:00AM - 11:45AM
Sa 12:30PM - 3:15PM"
Business Administration - MBA,BA   71 - Workshops,41701,"Mohammad Oskoorouchi
Mohammad Oskoorouchi","Markstein Hall 103
Markstein Hall 103","Sa 9:00AM - 11:45AM
Sa 12:30PM - 3:15PM"
Business Administration - MBA,BA   71 - Workshops,41702,"David Berry,
Rajnandini (Raj) Pillai",SEE CLASS NOTE,TBA
Business Administration - MBA,BA   71 - Workshops,41700,Roger Herzler,Markstein Hall 310,We 7:00PM - 9:45PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42683,Sajith Jayasinghe,Soc & Bhvrl Sci Bldg 3125 Lect,Mo 11:30AM - 12:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42869,Sajith Jayasinghe,Soc & Behavioral Sci Bldg 1101,We 11:30AM - 12:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42447,Alexander Buyanin,Soc & Behavioral Sci Bldg 1103,MoWeFr 8:30AM - 9:20AM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,43977,Karno Ng,Asynchronous Virtual Instr,TBA
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42696,Alfred Aberle,Academic Hall 305,MoWeFr 8:30AM - 9:20AM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42699,Alfred Aberle,Academic Hall 315,Mo 1:30PM - 2:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42701,Alfred Aberle,Academic Hall 315,Mo 3:30PM - 4:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42702,Sajith Jayasinghe,Science Hall II 242,MoWeFr 9:30AM - 10:20AM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42703,Sajith Jayasinghe,University Hall 441,We 1:30PM - 2:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42713,Wei Hao Huang,Science Hall II 242,MoWeFr 7:30AM - 8:20AM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42714,Wei Hao Huang,Soc & Bhvrl Sci Bldg 3125 Lect,Fr 12:30PM - 1:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42715,Wei Hao Huang,Soc & Behavioral Sci Bldg 1101,Fr 1:30PM - 2:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42716,Wei Hao Huang,Science Hall II 243,Fr 2:30PM - 3:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42448,Wei Hao Huang,Science Hall II 243,MoWeFr 8:30AM - 9:20AM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42667,Jackaline Julien,Soc & Behavioral Sci Bldg 1103,MoWeFr 10:30AM - 11:20AM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42449,Haleh Keshtkar,Soc & Behavioral Sci Bldg 2111,MoWeFr 1:30PM - 2:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42551,Alexander Buyanin,Soc & Behavioral Sci Bldg 2111,MoWeFr 11:30AM - 12:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42455,Alexander Buyanin,Soc & Behavioral Sci Bldg 2111,MoWeFr 9:30AM - 10:20AM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42457,Alexander Buyanin,Science Hall II 243,Fr 1:30PM - 2:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42295,Selakilli Thiyagarajah,Science Hall II 345,Fr 8:30AM - 11:15AM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42237,Alfred Aberle,Science Hall II 351,Tu 8:30AM - 2:15PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42267,Reinaldo Compagnone,Science Hall II 351,Th 2:30PM - 8:15PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42270,Selakilli Thiyagarajah,Science Hall II 351,Sa 9:00AM - 2:45PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42238,Selakilli Thiyagarajah,Academic Hall 305,Mo 11:30AM - 2:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42234,"Selakilli Thiyagarajah
To be Announced","Science Hall II 242
Synchronous Virtual Instr","MoWe 2:30PM - 3:45PM
MoWe 2:30PM - 3:45PM"
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42253,Robyn Araiza,Academic Hall 304,TuTh 2:30PM - 3:45PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,44073,Karno Ng,Independent Study,TBA
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,43042,Afra Panahi,Science Hall II 243,MoWeFr 12:30PM - 1:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,43137,Afra Panahi,Science Hall II 243,We 1:30PM - 2:20PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,44152,"Paul Jasien
Paul Jasien","Synchronous Virtual Instr
University Hall 441","We 10:30AM - 11:20AM
MoFr 10:30AM - 11:20AM"
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42726,Ezequiel Vidal,Kellogg Library 1104,MoWeFr 9:30AM - 10:20AM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42727,Ezequiel Vidal,Science Hall 111,Mo 12:30PM - 5:15PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42728,Alexander Estrada,Science Hall 111,Tu 12:30PM - 5:15PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42729,Ezequiel Vidal,Asynchronous Virtual Instr,TBA
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,44136,"Sajith Jayasinghe
Sajith Jayasinghe","Synchronous Virtual Instr
Academic Hall 315","Th 3:00PM - 4:50PM
Th 3:00PM - 4:50PM"
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,43959,Haleh Keshtkar,Soc & Behavioral Sci Bldg 4119,MoWe 4:00PM - 5:15PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,42454,Robyn Araiza,Independent Study,TBA
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,43232,Robert Iafe,Soc & Bhvrl Sci Bldg 3125 Lect,MoWe 5:30PM - 6:45PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,43233,Moorthy Palanki,Academic Hall 404,Tu 5:00PM - 6:50PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,41957,Jesus Cordova,Soc & Bhvrl Sci Bldg 3125 Lect,Th 5:00PM - 5:50PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,43234,Jesus Cordova,Soc & Bhvrl Sci Bldg 3125 Lect,Th 5:00PM - 5:50PM
Chemistry,CHEM  100 - Introduction to the Chemistry and Biochemistry Major,44126,Afra Panahi,Independent Study,TBA
Child and Adolescent Developme,CHAD  344 - Developing in the Digital Age,43064,Heather Herrmann,Academic Hall 305,We 11:30AM - 2:20PM
Child and Adolescent Developme,CHAD  344 - Developing in the Digital Age,43103,Janice Phung,Soc & Behavioral Sci Bldg 3127,Mo 2:30PM - 5:20PM
Child and Adolescent Developme,CHAD  344 - Developing in the Digital Age,43066,Aleksandria Grabow,Academic Hall 411B,Tu 1:00PM - 3:50PM
Child and Adolescent Developme,CHAD  344 - Developing in the Digital Age,43104,Aleksandria Grabow,Soc & Behavioral Sci Bldg 3127,Tu 4:00PM - 6:50PM
Child and Adolescent Developme,CHAD  344 - Developing in the Digital Age,43067,"Allison Jobin
Allison Jobin","Asynchronous Virtual Instr
Soc & Behavioral Sci Bldg 3127","TBA 
Mo 9:30AM - 11:20AM"
Child and Adolescent Developme,CHAD  344 - Developing in the Digital Age,43100,Yu Zhang,Asynchronous Virtual Instr,TBA
Child and Adolescent Developme,CHAD  344 - Developing in the Digital Age,43101,Yu Zhang,Soc & Behavioral Sci Bldg 1101,Th 9:00AM - 11:50AM
Communication,COMM  390 - Research Methods and Design,41593,Katherine Brown,University Hall 443,MoWe 2:30PM - 3:45PM
Communication,COMM  390 - Research Methods and Design,41524,Robert Gutierrez,Academic Hall 301,Th 9:00AM - 11:50AM
Communication,COMM  390 - Research Methods and Design,41526,Lori Bednarchik,University Hall 257,Mo 8:30AM - 11:20AM
Communication,COMM  390 - Research Methods and Design,41510,Katherine Brown,University Hall 443,Mo 11:30AM - 2:20PM
Computer Science,CS  110 - Foundations of Data Science,42852,Paul Hoffmann,Viasat Engineering Pav 5101,MoWeFr 1:30PM - 2:20PM
Computer Science,CS  110 - Foundations of Data Science,42599,Youwen Ouyang,Viasat Engineering Pav 5101,MoWeFr 10:30AM - 11:20AM
Computer Science,CS  110 - Foundations of Data Science,42848,Youwen Ouyang,Academic Hall 206,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  110 - Foundations of Data Science,42601,Michael Tutberidze,Viasat Engineering Pav 5101,TuTh 7:30AM - 8:45AM
Computer Science,CS  110 - Foundations of Data Science,42602,Kazumi Slott,Science Hall II 302,TuTh 10:30AM - 11:45AM
Computer Science,CS  110 - Foundations of Data Science,42603,Kazumi Slott,Science Hall II 302,TuTh 1:00PM - 2:15PM
Computer Science,CS  110 - Foundations of Data Science,42604,Kazumi Slott,Viasat Engineering Pav 5101,MoWeFr 9:30AM - 10:20AM
Computer Science,CS  110 - Foundations of Data Science,42605,Kazumi Slott,Science Hall II 302,MoWeFr 10:30AM - 11:20AM
Computer Science,CS  110 - Foundations of Data Science,42606,Kazumi Slott,Science Hall II 302,MoWeFr 11:30AM - 12:20PM
Computer Science,CS  110 - Foundations of Data Science,42607,Lanier Castillo,Viasat Engineering Pav 5101,MoWeFr 8:30AM - 9:20AM
Computer Science,CS  110 - Foundations of Data Science,42608,Kazumi Slott,Science Hall II 302,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  110 - Foundations of Data Science,42609,Lanier Castillo,Science Hall II 302,MoWeFr 9:30AM - 10:20AM
Computer Science,CS  110 - Foundations of Data Science,42773,Youwen Ouyang,University Hall 272,MoWe 2:30PM - 3:45PM
Computer Science,CS  110 - Foundations of Data Science,42614,Rika Yoshii,Viasat Engineering Pav 5101,TuTh 10:30AM - 11:45AM
Computer Science,CS  110 - Foundations of Data Science,42616,Michael Tutberidze,University Hall 272,TuTh 1:00PM - 2:15PM
Computer Science,CS  110 - Foundations of Data Science,42617,Michael Tutberidze,Viasat Engineering Pav 5107,TuTh 5:30PM - 6:45PM
Computer Science,CS  110 - Foundations of Data Science,42618,Lanier Castillo,Viasat Engineering Pav 5101,MoWeFr 11:30AM - 12:20PM
Computer Science,CS  110 - Foundations of Data Science,42619,Lanier Castillo,Academic Hall 206,MoWeFr 1:30PM - 2:20PM
Computer Science,CS  110 - Foundations of Data Science,42620,Lanier Castillo,University Hall 272,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  110 - Foundations of Data Science,42339,Sahar Mosleh,Viasat Engineering Pav 5101,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  110 - Foundations of Data Science,42346,Sahar Mosleh,Science Hall II 302,MoWe 5:30PM - 6:45PM
Computer Science,CS  110 - Foundations of Data Science,42853,Sreedevi Gutta,Academic Hall 206,MoWeFr 10:30AM - 11:20AM
Computer Science,CS  110 - Foundations of Data Science,44123,To be Announced,Markstein Hall 102,TuTh 5:30PM - 6:45PM
Computer Science,CS  110 - Foundations of Data Science,42638,Yuanyuan Jiang,ACD 204,TuTh 1:00PM - 1:50PM
Computer Science,CS  110 - Foundations of Data Science,42857,Yuanyuan Jiang,Viasat Engineering Pav 5107,TuTh 4:00PM - 5:15PM
Computer Science,CS  110 - Foundations of Data Science,42068,Md Lutfor Rahman,Academic Hall 405,Mo 11:30AM - 12:20PM
Computer Science,CS  110 - Foundations of Data Science,42076,Ahmad Hadaegh,Academic Hall 209,MoWe 5:30PM - 6:45PM
Computer Science,CS  110 - Foundations of Data Science,41968,Nahid Ebrahimi Majd,Academic Hall 206,TuTh 9:00AM - 10:15AM
Computer Science,CS  110 - Foundations of Data Science,41969,Yongjie Zheng,University Hall 272,TuTh 2:30PM - 3:45PM
Computer Science,CS  110 - Foundations of Data Science,42859,Md Lutfor Rahman,Markstein Hall 208,MoWeFr 10:30AM - 11:20AM
Dance,DNCE  124 - Introduction to Dance Through Film,41280,Cuauhtemoc Peranda,Arts Building 111,Mo 11:30AM - 2:20PM
Dance,DNCE  124 - Introduction to Dance Through Film,41197,Nhu Nguyen,Arts Building 101,TuTh 10:00AM - 10:50AM
Dance,DNCE  124 - Introduction to Dance Through Film,41198,Nhu Nguyen,Arts Building 101,TuTh 11:00AM - 11:50AM
Dance,DNCE  124 - Introduction to Dance Through Film,41054,Nhu Nguyen,Arts Building 101,Fr 12:30PM - 3:20PM
Economics,ECON  201 - Principles of Microeconomics,44175,Quinn Keefer,University Hall 439,We 5:30PM - 8:20PM
Economics,ECON  201 - Principles of Microeconomics,41425,Quinn Keefer,Soc & Behavioral Sci Bldg 2140,Mo 4:00PM - 6:50PM
Economics,ECON  201 - Principles of Microeconomics,40605,Roger Arnold,Soc & Behavioral Sci Bldg 2140,Fr 9:30AM - 12:20PM
Economics,ECON  201 - Principles of Microeconomics,41309,Robert Brown,Soc & Behavioral Sci Bldg 2140,We 9:30AM - 12:20PM
Economics,ECON  201 - Principles of Microeconomics,43864,Erica Freer,University Hall 440,TuTh 10:30AM - 11:45AM
Economics,ECON  201 - Principles of Microeconomics,43862,Ranjeeta Basu,Soc & Behavioral Sci Bldg 2140,TuTh 5:30PM - 6:45PM
Economics,ECON  201 - Principles of Microeconomics,41208,Ranjeeta Basu,Soc & Behavioral Sci Bldg 2140,TuTh 4:00PM - 5:15PM
